id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
50,Regenta Inn Larica,3.6,4,Very Good,1448,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"2,713",419,"3,132",3132
51,Golden Tulip Kolkata,4.1,4,Very Good,1538,4,Salt Lake City,,,"3,772",770,"4,542",4542
52,The Senator,4.3,4,Excellent,1016,3,Elgin,,,"2,511",513,"3,024",3024
53,Gallery 67,4.2,4,Very Good,832,3,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9.4 km ,"2,536",737,"3,273",3273
54,CHOWDHURY'S ESTATES,3.5,4,Very Good,24,,Elgin,,,"1,935",480,"2,415",2415
55,Pipal Tree Hotel,4,4,Very Good,2274,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"3,579",846,"4,425",4425
56,Stayotel,4,4,Very Good,606,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.5 km ,"2,365",672,"3,037",3037
57,"Raajkutir, Kolkata - IHCL SeleQtions",4.6,5,Excellent,576,5,Kankurgachi ,Salt Lake Stadium,810 m ,"5,350",0,"5,350",5350
58,The Sonnet,4.1,4,Very Good,844,4,Salt Lake City,,,"4,937","1,233","6,170",6170
59,"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,5,Excellent,99,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,"1,440",418,"1,858",1858
60,Aristocrat Hotel,3.7,4,Very Good,262,4,New Town,,,"1,966",409,"2,375",2375
61,The Fern Residency Kolkata,3.8,4,Very Good,1051,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"2,462",582,"3,044",3044
62,Sapphire Suites,3.8,4,Very Good,776,3,New Market Area ,Park Street,780 m ,"3,089",631,"3,720",3720
63,Victoria Hotel,4,4,Very Good,862,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,"2,388",720,"3,108",3108
64,The Pearl Hotel,3.3,3,Good,608,3,Beliaghata ,Salt Lake Stadium,840 m ,"1,517",484,"2,001",2001
65,The Astor,4.2,4,Very Good,933,4,Park Street Area,,,"4,502",920,"5,422",5422
66,Barsana Boutique Hotel (Pure vegetarian),4.2,4,Very Good,296,3,Tangra,,,"3,767",770,"4,537",4537
